chip_name,y,x,high_bias_magnitude
BD1,9,30,True
BD1,9,31,True
BD1,10,0,False
BD1,10,1,False
BD1,10,2,False
BD1,10,3,False
BD1,10,4,False
BD1,10,5,True
BD1,10,6,False
BD1,10,7,False
BD1,10,8,False
BD1,10,9,False
BD1,10,10,False
BD1,10,11,False
BD1,10,12,False
BD1,10,13,False
BD1,10,14,False
BD1,10,15,False
BD1,10,16,True
BD1,10,17,False
BD1,10,18,False
BD1,10,19,False
BD1,10,20,False
BD1,10,21,False
BD1,10,22,False
BD1,10,23,False
BD1,10,24,False
BD1,10,25,True
BD1,10,26,False
BD1,10,27,True
BD1,10,28,True
BD1,10,29,False
BD1,10,30,False
BD1,10,31,False
BD1,11,0,False
BD1,11,1,False
BD1,11,2,False
BD1,11,3,False
BD1,11,4,False
BD1,11,5,False
BD1,11,6,False
BD1,11,7,False
BD1,11,8,False
BD1,11,9,False
BD1,11,10,False
BD1,11,11,True
BD1,11,12,False
BD1,11,13,False
BD1,11,14,False
BD1,11,15,False
BD1,11,16,False
BD1,11,17,False
BD1,11,18,False
BD1,11,19,False
BD1,11,20,False
BD1,11,21,False
BD1,11,22,False
BD1,11,23,False
BD1,11,24,True
BD1,11,25,False
BD1,11,26,False
BD1,11,27,True
BD1,11,28,False
BD1,11,29,True
BD1,11,30,False
BD1,11,31,True
BD1,12,0,False
BD1,12,1,False
BD1,12,2,False
BD1,12,3,False
BD1,12,4,False
BD1,12,5,False
BD1,12,6,False
BD1,12,7,False
BD1,12,8,False
BD1,12,9,True
BD1,12,10,False
BD1,12,11,False
BD1,12,12,False
BD1,12,13,False
BD1,12,14,False
BD1,12,15,False
BD1,12,16,False
BD1,12,17,False
BD1,12,18,False
BD1,12,19,False
BD1,12,20,False
BD1,12,21,False
BD1,12,22,False
BD1,12,23,True
BD1,12,24,False
BD1,12,25,False
BD1,12,26,False
BD1,12,27,False
BD1,12,28,True
BD1,12,29,True
BD1,12,30,True
BD1,12,31,False
BD1,13,0,True
BD1,13,1,False
BD1,13,2,False
BD1,13,3,False
BD1,13,4,False
BD1,13,5,False
BD1,13,6,True
BD1,13,7,False
BD1,13,8,False
BD1,13,9,False
BD1,13,10,False
BD1,13,11,True
BD1,13,12,True
BD1,13,13,True
BD1,13,14,False
BD1,13,15,False
BD1,13,16,False
BD1,13,17,False
BD1,13,18,False
BD1,13,19,False
BD1,13,20,False
BD1,13,21,True
BD1,13,22,False
BD1,13,23,False
BD1,13,24,True
BD1,13,25,False
BD1,13,26,False
BD1,13,27,False
BD1,13,28,False
BD1,13,29,False
BD1,13,30,False
BD1,13,31,True
BD1,14,0,False
BD1,14,1,False
BD1,14,2,True
BD1,14,3,False
BD1,14,4,False
BD1,14,5,False
BD1,14,6,False
BD1,14,7,False
BD1,14,8,False
BD1,14,9,False
BD1,14,10,False
BD1,14,11,False
BD1,14,12,False
BD1,14,13,False
BD1,14,14,False
BD1,14,15,True
BD1,14,16,False
BD1,14,17,False
BD1,14,18,False
BD1,14,19,True
BD1,14,20,False
BD1,14,21,False
BD1,14,22,True
BD1,14,23,False
BD1,14,24,False
BD1,14,25,False
BD1,14,26,False
BD1,14,27,False
BD1,14,28,False
BD1,14,29,False
BD1,14,30,False
BD1,14,31,False
BD1,15,0,False
BD1,15,1,True
BD1,15,2,False
BD1,15,3,False
BD1,15,4,False
BD1,15,5,False
BD1,15,6,True
BD1,15,7,False
BD1,15,8,False
BD1,15,9,False
BD1,15,10,False
BD1,15,11,False
BD1,15,12,False
BD1,15,13,True
BD1,15,14,True
BD1,15,15,False
BD1,15,16,False
BD1,15,17,False
BD1,15,18,False
BD1,15,19,False
BD1,15,20,False
BD1,15,21,False
BD1,15,22,False
BD1,15,23,False
BD1,15,24,False
BD1,15,25,False
BD1,15,26,False
BD1,15,27,False
BD1,15,28,False
BD1,15,29,False
BD1,15,30,False
BD1,15,31,False
BD1,16,0,False
BD1,16,1,False
BD1,16,2,False
BD1,16,3,False
BD1,16,4,False
